,date,time,latitude,longitude,region name,depth,magnitude type,magnitude,eqid,hour,minute,second,datetime,has_influence_on,dist_from_path
1469,2016-10-30,16:50:45,42.93,13.21,CENTRAL ITALY,9,ML,3.0,541181,16,50,45.0,2016-10-30 16:50:45,ICV,72
1470,2016-10-30,16:44:40,42.72,13.19,CENTRAL ITALY,10,ML,2.5,541174,16,44,40.0,2016-10-30 16:44:40,ICV,53
1471,2016-10-30,16:43:37,42.89,13.2,CENTRAL ITALY,8,ML,2.8,541173,16,43,37.0,2016-10-30 16:43:37,ICV,69
1472,2016-10-30,16:36:54,42.9,13.19,CENTRAL ITALY,10,ML,2.7,541172,16,36,54.0,2016-10-30 16:36:54,ICV,70
1473,2016-10-30,16:32:01,43.06,13.06,CENTRAL ITALY,8,ML,2.7,541171,16,32,1.0,2016-10-30 16:32:01,ICV,90
1474,2016-10-30,16:25:23,42.75,13.16,CENTRAL ITALY,16,ML,2.7,541170,16,25,23.0,2016-10-30 16:25:23,ICV,56
1476,2016-10-30,16:18:35,42.83,13.05,CENTRAL ITALY,10,ML,3.1,541164,16,18,35.0,2016-10-30 16:18:35,ICV,68
1477,2016-10-30,16:15:42,42.78,13.17,CENTRAL ITALY,10,ML,3.1,541166,16,15,42.0,2016-10-30 16:15:42,ICV,59
1478,2016-10-30,16:13:52,42.82,13.16,CENTRAL ITALY,10,ML,3.1,541165,16,13,52.0,2016-10-30 16:13:52,ICV,63
1479,2016-10-30,16:07:21,43.06,13.07,CENTRAL ITALY,9,ML,3.5,541162,16,7,21.0,2016-10-30 16:07:21,ICV,90
1447,2016-10-30,17:55:45,42.88,13.06,CENTRAL ITALY,10,ML,2.8,541207,17,55,45.0,2016-10-30 17:55:45,ICV,73
1449,2016-10-30,17:53:59,42.88,13.21,CENTRAL ITALY,8,ML,3.0,541205,17,53,59.0,2016-10-30 17:53:59,ICV,67
1450,2016-10-30,17:51:58,42.79,13.13,CENTRAL ITALY,13,ML,2.5,541206,17,51,58.0,2016-10-30 17:51:58,ICV,61
1451,2016-10-30,17:49:13,42.91,13.14,CENTRAL ITALY,10,ML,3.6,541198,17,49,13.0,2016-10-30 17:49:13,ICV,73
1452,2016-10-30,17:47:32,42.95,13.18,CENTRAL ITALY,6,ML,3.0,541199,17,47,32.0,2016-10-30 17:47:32,ICV,75
1454,2016-10-30,17:36:02,42.7,13.28,CENTRAL ITALY,10,ML,2.7,541196,17,36,2.0,2016-10-30 17:36:02,ICV,47
1455,2016-10-30,17:34:23,42.79,13.08,CENTRAL ITALY,12,ML,2.5,541200,17,34,23.0,2016-10-30 17:34:23,ICV,63
1456,2016-10-30,17:32:09,42.89,13.16,CENTRAL ITALY,8,ML,3.5,541190,17,32,9.0,2016-10-30 17:32:09,ICV,70
1457,2016-10-30,17:31:00,42.8,13.22,CENTRAL ITALY,13,ML,3.1,541193,17,31,0.0,2016-10-30 17:31:00,ICV,59
1458,2016-10-30,17:28:34,42.77,13.15,CENTRAL ITALY,11,ML,2.6,541188,17,28,34.0,2016-10-30 17:28:34,ICV,59
1459,2016-10-30,17:26:18,42.72,13.21,CENTRAL ITALY,11,ML,2.6,541192,17,26,18.0,2016-10-30 17:26:18,ICV,52
1460,2016-10-30,17:22:39,42.84,13.12,CENTRAL ITALY,10,ML,3.1,541191,17,22,39.0,2016-10-30 17:22:39,ICV,67
1461,2016-10-30,17:19:47,42.76,13.15,CENTRAL ITALY,12,ML,3.0,541187,17,19,47.0,2016-10-30 17:19:47,ICV,58
1462,2016-10-30,17:13:14,42.81,13.09,CENTRAL ITALY,15,ML,3.0,541185,17,13,14.0,2016-10-30 17:13:14,ICV,65
1463,2016-10-30,17:11:07,42.56,13.25,CENTRAL ITALY,12,ML,3.0,541183,17,11,7.0,2016-10-30 17:11:07,ICV,35
1464,2016-10-30,17:07:31,43.07,13.07,CENTRAL ITALY,8,ML,3.1,541180,17,7,31.0,2016-10-30 17:07:31,ICV,91
1433,2016-10-30,18:58:18,42.8,13.15,CENTRAL ITALY,10,ML,3.2,541226,18,58,18.0,2016-10-30 18:58:18,ICV,62
1434,2016-10-30,18:53:22,42.86,13.21,CENTRAL ITALY,5,ML,3.1,541227,18,53,22.0,2016-10-30 18:53:22,ICV,65
1435,2016-10-30,18:51:51,42.79,13.15,CENTRAL ITALY,10,ML,3.2,541225,18,51,51.0,2016-10-30 18:51:51,ICV,61
1436,2016-10-30,18:47:53,42.79,13.11,CENTRAL ITALY,10,ML,2.9,541224,18,47,53.0,2016-10-30 18:47:53,ICV,62
1437,2016-10-30,18:39:29,42.81,13.1,CENTRAL ITALY,10,ML,3.7,541220,18,39,29.0,2016-10-30 18:39:29,ICV,64
1438,2016-10-30,18:36:11,42.79,13.17,CENTRAL ITALY,9,ML,2.5,541222,18,36,11.0,2016-10-30 18:36:11,ICV,60
1439,2016-10-30,18:30:20,42.81,13.14,CENTRAL ITALY,10,ML,2.6,541216,18,30,20.0,2016-10-30 18:30:20,ICV,63
1440,2016-10-30,18:27:22,42.93,13.2,CENTRAL ITALY,9,ML,2.8,541221,18,27,22.0,2016-10-30 18:27:22,ICV,73
1441,2016-10-30,18:23:58,43.06,13.08,CENTRAL ITALY,9,ML,3.2,541214,18,23,58.0,2016-10-30 18:23:58,ICV,90
1442,2016-10-30,18:21:09,42.79,13.15,CENTRAL ITALY,10,ML,4.2,541212,18,21,9.0,2016-10-30 18:21:09,ICV,61
1443,2016-10-30,18:18:30,42.67,13.2,CENTRAL ITALY,14,ML,2.5,541213,18,18,30.0,2016-10-30 18:18:30,ICV,47
1444,2016-10-30,18:12:13,42.91,13.1,CENTRAL ITALY,13,ML,2.5,541223,18,12,13.0,2016-10-30 18:12:13,ICV,74
1445,2016-10-30,18:07:50,42.86,13.06,CENTRAL ITALY,11,ML,2.7,541210,18,7,50.0,2016-10-30 18:07:50,ICV,71
1446,2016-10-30,18:05:52,42.76,13.06,CENTRAL ITALY,11,ML,2.8,541209,18,5,52.0,2016-10-30 18:05:52,ICV,61
1419,2016-10-30,19:56:40,42.83,13.22,CENTRAL ITALY,10,ML,2.6,541246,19,56,40.0,2016-10-30 19:56:40,ICV,62
1420,2016-10-30,19:47:36,42.82,13.07,CENTRAL ITALY,10,ML,2.6,541242,19,47,36.0,2016-10-30 19:47:36,ICV,66
1421,2016-10-30,19:43:36,43.01,13.07,CENTRAL ITALY,9,ML,3.4,541243,19,43,36.0,2016-10-30 19:43:36,ICV,85
1422,2016-10-30,19:42:12,42.88,13.18,CENTRAL ITALY,7,ML,2.9,541241,19,42,12.0,2016-10-30 19:42:12,ICV,68
1423,2016-10-30,19:36:40,43.07,13.06,CENTRAL ITALY,9,ML,2.7,541239,19,36,40.0,2016-10-30 19:36:40,ICV,91
1424,2016-10-30,19:35:31,42.81,13.1,CENTRAL ITALY,10,ML,2.9,541240,19,35,31.0,2016-10-30 19:35:31,ICV,64
1425,2016-10-30,19:33:34,42.76,13.06,CENTRAL ITALY,11,ML,3.1,541238,19,33,34.0,2016-10-30 19:33:34,ICV,61
1426,2016-10-30,19:29:39,42.75,13.04,CENTRAL ITALY,9,ML,3.1,541244,19,29,39.0,2016-10-30 19:29:39,ICV,61
1427,2016-10-30,19:28:26,42.77,13.23,CENTRAL ITALY,11,ML,3.3,541234,19,28,26.0,2016-10-30 19:28:26,ICV,56
1428,2016-10-30,19:25:01,43.04,13.08,CENTRAL ITALY,9,ML,2.9,541237,19,25,1.0,2016-10-30 19:25:01,ICV,88
1429,2016-10-30,19:19:11,42.84,13.16,CENTRAL ITALY,10,ML,3.1,541232,19,19,11.0,2016-10-30 19:19:11,ICV,65
1430,2016-10-30,19:15:50,42.76,13.07,CENTRAL ITALY,10,ML,2.6,541231,19,15,50.0,2016-10-30 19:15:50,ICV,61
1431,2016-10-30,19:08:56,43.07,13.06,CENTRAL ITALY,9,ML,2.6,541230,19,8,56.0,2016-10-30 19:08:56,ICV,91
1432,2016-10-30,19:00:15,42.9,13.15,CENTRAL ITALY,10,ML,2.5,541228,19,0,15.0,2016-10-30 19:00:15,ICV,71
1406,2016-10-30,20:52:16,42.94,13.14,CENTRAL ITALY,11,ML,3.4,541273,20,52,16.0,2016-10-30 20:52:16,ICV,76
1407,2016-10-30,20:51:11,42.89,13.19,CENTRAL ITALY,8,ML,2.8,541271,20,51,11.0,2016-10-30 20:51:11,ICV,69
1408,2016-10-30,20:47:08,42.93,13.2,CENTRAL ITALY,10,ML,3.4,541265,20,47,8.0,2016-10-30 20:47:08,ICV,73
1409,2016-10-30,20:41:54,42.94,13.22,CENTRAL ITALY,9,ML,3.3,541267,20,41,54.0,2016-10-30 20:41:54,ICV,73
1411,2016-10-30,20:35:03,42.88,13.1,CENTRAL ITALY,9,ML,3.0,541259,20,35,3.0,2016-10-30 20:35:03,ICV,71
1412,2016-10-30,20:31:18,42.81,13.09,CENTRAL ITALY,10,ML,3.0,541258,20,31,18.0,2016-10-30 20:31:18,ICV,65
1413,2016-10-30,20:23:12,42.8,13.14,CENTRAL ITALY,10,ML,2.6,541257,20,23,12.0,2016-10-30 20:23:12,ICV,62
1414,2016-10-30,20:19:51,42.8,13.1,CENTRAL ITALY,10,ML,2.5,541253,20,19,51.0,2016-10-30 20:19:51,ICV,63
1415,2016-10-30,20:18:04,42.84,13.0,CENTRAL ITALY,10,ML,2.8,541254,20,18,4.0,2016-10-30 20:18:04,ICV,71
1417,2016-10-30,20:09:55,42.73,13.2,CENTRAL ITALY,10,ML,3.2,541247,20,9,55.0,2016-10-30 20:09:55,ICV,53
1418,2016-10-30,20:07:29,42.79,13.17,CENTRAL ITALY,9,ML,2.9,541250,20,7,29.0,2016-10-30 20:07:29,ICV,60
1390,2016-10-30,21:57:10,42.78,13.07,CENTRAL ITALY,10,ML,3.1,541297,21,57,10.0,2016-10-30 21:57:10,ICV,63
1391,2016-10-30,21:56:01,42.88,13.2,CENTRAL ITALY,8,ML,2.6,541299,21,56,1.0,2016-10-30 21:56:01,ICV,68
1392,2016-10-30,21:52:53,42.88,13.19,CENTRAL ITALY,10,ML,2.8,541295,21,52,53.0,2016-10-30 21:52:53,ICV,68
1393,2016-10-30,21:50:20,42.88,13.08,CENTRAL ITALY,10,ML,2.7,541292,21,50,20.0,2016-10-30 21:50:20,ICV,72
1394,2016-10-30,21:45:26,42.81,13.06,CENTRAL ITALY,10,ML,2.6,541293,21,45,26.0,2016-10-30 21:45:26,ICV,66
1395,2016-10-30,21:44:09,42.73,13.18,CENTRAL ITALY,10,ML,2.6,541287,21,44,9.0,2016-10-30 21:44:09,ICV,54
1396,2016-10-30,21:36:52,42.83,13.09,CENTRAL ITALY,10,ML,2.8,541290,21,36,52.0,2016-10-30 21:36:52,ICV,67
1397,2016-10-30,21:31:53,42.88,13.12,CENTRAL ITALY,10,ML,2.7,541285,21,31,53.0,2016-10-30 21:31:53,ICV,71
1398,2016-10-30,21:26:05,42.73,13.19,CENTRAL ITALY,9,ML,2.5,541283,21,26,5.0,2016-10-30 21:26:05,ICV,53
1399,2016-10-30,21:16:53,43.04,13.1,CENTRAL ITALY,9,ML,2.7,541281,21,16,53.0,2016-10-30 21:16:53,ICV,87
1400,2016-10-30,21:09:44,42.8,13.14,CENTRAL ITALY,10,ML,2.6,541278,21,9,44.0,2016-10-30 21:09:44,ICV,62
1401,2016-10-30,21:06:23,42.92,13.21,CENTRAL ITALY,9,ML,2.5,541279,21,6,23.0,2016-10-30 21:06:23,ICV,71
1402,2016-10-30,21:04:06,42.81,13.17,CENTRAL ITALY,11,ML,2.8,541276,21,4,6.0,2016-10-30 21:04:06,ICV,62
1403,2016-10-30,21:01:59,42.77,13.14,CENTRAL ITALY,11,ML,2.5,541275,21,1,59.0,2016-10-30 21:01:59,ICV,59
1380,2016-10-30,22:52:57,42.92,13.12,CENTRAL ITALY,9,ML,2.5,541313,22,52,57.0,2016-10-30 22:52:57,ICV,74
1381,2016-10-30,22:47:03,42.81,13.19,CENTRAL ITALY,10,ML,3.4,541311,22,47,3.0,2016-10-30 22:47:03,ICV,61
1382,2016-10-30,22:37:54,43.04,13.05,CENTRAL ITALY,11,ML,2.5,541309,22,37,54.0,2016-10-30 22:37:54,ICV,89
1383,2016-10-30,22:25:29,42.81,13.07,CENTRAL ITALY,10,ML,2.9,541338,22,25,29.0,2016-10-30 22:25:29,ICV,66
1384,2016-10-30,22:21:54,42.81,13.05,CENTRAL ITALY,10,ML,2.7,541305,22,21,54.0,2016-10-30 22:21:54,ICV,66
1385,2016-10-30,22:19:43,42.91,13.16,CENTRAL ITALY,8,ML,3.5,541304,22,19,43.0,2016-10-30 22:19:43,ICV,72
1386,2016-10-30,22:18:17,42.89,13.1,CENTRAL ITALY,10,ML,2.7,541303,22,18,17.0,2016-10-30 22:18:17,ICV,72
1387,2016-10-30,22:13:42,42.8,13.16,CENTRAL ITALY,9,ML,3.1,541306,22,13,42.0,2016-10-30 22:13:42,ICV,61
1388,2016-10-30,22:05:46,42.76,13.2,CENTRAL ITALY,10,ML,2.5,541298,22,5,46.0,2016-10-30 22:05:46,ICV,56
1389,2016-10-30,22:02:39,42.81,13.17,CENTRAL ITALY,10,ML,2.7,541296,22,2,39.0,2016-10-30 22:02:39,ICV,62
1370,2016-10-30,23:58:28,42.76,13.03,CENTRAL ITALY,11,ML,2.7,541350,23,58,28.0,2016-10-30 23:58:28,ICV,62
1371,2016-10-30,23:56:24,42.73,12.99,CENTRAL ITALY,2,ML,3.6,541340,23,56,24.0,2016-10-30 23:56:24,ICV,61
1372,2016-10-30,23:52:29,42.78,13.12,CENTRAL ITALY,10,ML,3.6,541334,23,52,29.0,2016-10-30 23:52:29,ICV,61
1373,2016-10-30,23:50:01,42.85,13.16,CENTRAL ITALY,11,ML,2.7,541339,23,50,1.0,2016-10-30 23:50:01,ICV,66
1374,2016-10-30,23:26:39,42.72,13.18,CENTRAL ITALY,11,ML,3.0,541327,23,26,39.0,2016-10-30 23:26:39,ICV,53
1375,2016-10-30,23:15:54,42.86,13.21,CENTRAL ITALY,9,ML,2.8,541328,23,15,54.0,2016-10-30 23:15:54,ICV,65
1376,2016-10-30,23:13:46,42.88,13.16,CENTRAL ITALY,10,ML,2.7,541326,23,13,46.0,2016-10-30 23:13:46,ICV,69
1377,2016-10-30,23:09:10,42.91,13.05,CENTRAL ITALY,11,ML,3.3,541323,23,9,10.0,2016-10-30 23:09:10,ICV,76
1378,2016-10-30,23:06:59,42.92,13.21,CENTRAL ITALY,9,ML,3.0,541325,23,6,59.0,2016-10-30 23:06:59,ICV,71
1379,2016-10-30,23:05:31,42.91,13.2,CENTRAL ITALY,8,ML,3.6,541321,23,5,31.0,2016-10-30 23:05:31,ICV,71
1357,2016-10-31,00:59:10,42.81,13.14,CENTRAL ITALY,10,ML,2.6,541370,0,59,10.0,2016-10-31 00:59:10,ICV,63
1358,2016-10-31,00:50:51,42.99,13.11,CENTRAL ITALY,9,ML,3.0,541366,0,50,51.0,2016-10-31 00:50:51,ICV,82
1359,2016-10-31,00:45:31,42.8,13.09,CENTRAL ITALY,11,ML,3.3,541363,0,45,31.0,2016-10-31 00:45:31,ICV,64
1360,2016-10-31,00:43:39,42.76,13.08,CENTRAL ITALY,10,ML,2.6,541365,0,43,39.0,2016-10-31 00:43:39,ICV,60
1361,2016-10-31,00:37:00,42.83,13.22,CENTRAL ITALY,11,ML,2.7,541367,0,37,0.0,2016-10-31 00:37:00,ICV,62
1362,2016-10-31,00:35:07,42.79,13.07,CENTRAL ITALY,11,ML,2.5,541359,0,35,7.0,2016-10-31 00:35:07,ICV,64
1363,2016-10-31,00:30:30,42.75,13.13,CENTRAL ITALY,10,ML,3.4,541356,0,30,30.0,2016-10-31 00:30:30,ICV,58
1364,2016-10-31,00:28:07,42.88,13.08,CENTRAL ITALY,8,ML,2.7,541364,0,28,7.0,2016-10-31 00:28:07,ICV,72
1365,2016-10-31,00:19:53,42.86,13.08,CENTRAL ITALY,10,ML,2.5,541357,0,19,53.0,2016-10-31 00:19:53,ICV,70
1366,2016-10-31,00:17:58,42.73,13.19,CENTRAL ITALY,10,ML,3.0,541348,0,17,58.0,2016-10-31 00:17:58,ICV,53
1368,2016-10-31,00:16:35,42.75,13.19,CENTRAL ITALY,9,ML,3.0,541349,0,16,35.0,2016-10-31 00:16:35,ICV,55
1369,2016-10-31,00:11:10,42.78,13.1,CENTRAL ITALY,10,ML,3.4,541343,0,11,10.0,2016-10-31 00:11:10,ICV,62
1346,2016-10-31,01:57:40,42.74,13.2,CENTRAL ITALY,9,ML,2.6,541389,1,57,40.0,2016-10-31 01:57:40,ICV,54
1347,2016-10-31,01:56:00,42.78,13.11,CENTRAL ITALY,10,ML,2.4,541388,1,56,0.0,2016-10-31 01:56:00,ICV,61
1348,2016-10-31,01:48:21,42.9,13.15,CENTRAL ITALY,9,ML,3.7,541385,1,48,21.0,2016-10-31 01:48:21,ICV,71
1349,2016-10-31,01:35:25,42.74,13.18,CENTRAL ITALY,11,ML,3.1,541376,1,35,25.0,2016-10-31 01:35:25,ICV,55
1350,2016-10-31,01:28:58,42.78,13.1,CENTRAL ITALY,10,ML,2.9,541375,1,28,58.0,2016-10-31 01:28:58,ICV,62
1351,2016-10-31,01:23:41,42.76,13.18,CENTRAL ITALY,9,ML,2.8,541378,1,23,41.0,2016-10-31 01:23:41,ICV,57
1353,2016-10-31,01:11:23,42.87,13.18,CENTRAL ITALY,8,ML,2.6,541373,1,11,23.0,2016-10-31 01:11:23,ICV,67
1354,2016-10-31,01:08:53,42.85,13.08,CENTRAL ITALY,10,ML,2.6,541372,1,8,53.0,2016-10-31 01:08:53,ICV,69
1355,2016-10-31,01:07:13,42.89,13.04,CENTRAL ITALY,10,ML,2.9,541371,1,7,13.0,2016-10-31 01:07:13,ICV,74
1356,2016-10-31,01:01:33,42.79,13.03,CENTRAL ITALY,10,ML,3.3,541369,1,1,33.0,2016-10-31 01:01:33,ICV,65
1331,2016-10-31,02:59:14,42.62,13.3,CENTRAL ITALY,10,ML,3.4,541418,2,59,14.0,2016-10-31 02:59:14,ICV,39
1332,2016-10-31,02:49:41,43.07,13.07,CENTRAL ITALY,9,ML,3.5,541410,2,49,41.0,2016-10-31 02:49:41,ICV,91
1333,2016-10-31,02:46:11,42.8,13.05,CENTRAL ITALY,10,ML,2.7,541409,2,46,11.0,2016-10-31 02:46:11,ICV,65
1334,2016-10-31,02:43:12,42.69,13.23,CENTRAL ITALY,10,ML,2.6,541402,2,43,12.0,2016-10-31 02:43:12,ICV,48
1335,2016-10-31,02:34:09,42.78,13.11,CENTRAL ITALY,10,ML,3.0,541401,2,34,9.0,2016-10-31 02:34:09,ICV,61
1336,2016-10-31,02:28:00,42.72,13.21,CENTRAL ITALY,13,ML,2.6,541404,2,28,0.0,2016-10-31 02:28:00,ICV,52
1338,2016-10-31,02:17:29,42.79,13.07,CENTRAL ITALY,10,ML,2.9,541399,2,17,29.0,2016-10-31 02:17:29,ICV,64
1339,2016-10-31,02:16:19,42.7,13.12,CENTRAL ITALY,13,ML,2.9,541397,2,16,19.0,2016-10-31 02:16:19,ICV,53
1340,2016-10-31,02:15:29,42.83,13.12,CENTRAL ITALY,10,ML,3.1,541393,2,15,29.0,2016-10-31 02:15:29,ICV,66
1341,2016-10-31,02:08:40,42.79,13.07,CENTRAL ITALY,10,ML,2.6,541395,2,8,40.0,2016-10-31 02:08:40,ICV,64
1342,2016-10-31,02:07:32,42.81,13.08,CENTRAL ITALY,9,ML,2.7,541391,2,7,32.0,2016-10-31 02:07:32,ICV,65
1343,2016-10-31,02:05:18,42.89,13.04,CENTRAL ITALY,10,ML,2.5,541392,2,5,18.0,2016-10-31 02:05:18,ICV,74
1345,2016-10-31,02:02:23,42.79,13.12,CENTRAL ITALY,12,ML,3.2,541386,2,2,23.0,2016-10-31 02:02:23,ICV,62
1318,2016-10-31,03:53:42,42.7,13.18,CENTRAL ITALY,14,ML,2.7,541438,3,53,42.0,2016-10-31 03:53:42,ICV,51
1319,2016-10-31,03:49:25,42.94,13.14,CENTRAL ITALY,10,ML,3.0,541439,3,49,25.0,2016-10-31 03:49:25,ICV,76
1320,2016-10-31,03:46:59,42.79,13.08,CENTRAL ITALY,10,ML,2.7,541434,3,46,59.0,2016-10-31 03:46:59,ICV,63
1321,2016-10-31,03:40:56,42.72,13.27,CENTRAL ITALY,14,ML,2.7,541436,3,40,56.0,2016-10-31 03:40:56,ICV,50
1322,2016-10-31,03:37:46,42.72,13.19,CENTRAL ITALY,10,ML,3.0,541432,3,37,46.0,2016-10-31 03:37:46,ICV,53
1323,2016-10-31,03:32:37,42.95,13.19,CENTRAL ITALY,8,ML,3.7,541433,3,32,37.0,2016-10-31 03:32:37,ICV,75
1324,2016-10-31,03:31:30,42.89,13.18,CENTRAL ITALY,9,ML,3.0,541431,3,31,30.0,2016-10-31 03:31:30,ICV,69
1325,2016-10-31,03:27:40,42.77,13.09,CENTRAL ITALY,11,MB,4.3,541428,3,27,40.0,2016-10-31 03:27:40,ICV,61
1326,2016-10-31,03:23:27,42.84,13.06,CENTRAL ITALY,9,ML,2.6,541435,3,23,27.0,2016-10-31 03:23:27,ICV,69
1327,2016-10-31,03:14:42,42.92,13.21,CENTRAL ITALY,8,ML,2.5,541425,3,14,42.0,2016-10-31 03:14:42,ICV,71
1328,2016-10-31,03:07:29,42.82,13.0,CENTRAL ITALY,11,ML,2.6,541424,3,7,29.0,2016-10-31 03:07:29,ICV,69
1329,2016-10-31,03:05:45,42.84,13.05,CENTRAL ITALY,10,ML,3.3,541421,3,5,45.0,2016-10-31 03:05:45,ICV,69
1330,2016-10-31,03:02:40,42.72,13.14,CENTRAL ITALY,9,ML,2.5,541423,3,2,40.0,2016-10-31 03:02:40,ICV,54
1306,2016-10-31,04:59:03,42.96,13.15,CENTRAL ITALY,10,ML,2.6,541468,4,59,3.0,2016-10-31 04:59:03,ICV,77
1307,2016-10-31,04:57:51,42.79,13.07,CENTRAL ITALY,10,ML,2.5,541467,4,57,51.0,2016-10-31 04:57:51,ICV,64
1308,2016-10-31,04:50:16,42.89,13.17,CENTRAL ITALY,9,ML,3.1,541463,4,50,16.0,2016-10-31 04:50:16,ICV,70
1309,2016-10-31,04:49:16,42.79,13.07,CENTRAL ITALY,10,ML,3.2,541465,4,49,16.0,2016-10-31 04:49:16,ICV,64
1310,2016-10-31,04:41:04,42.8,13.11,CENTRAL ITALY,10,ML,2.6,541464,4,41,4.0,2016-10-31 04:41:04,ICV,63
1311,2016-10-31,04:38:05,42.88,13.05,CENTRAL ITALY,11,ML,2.8,541461,4,38,5.0,2016-10-31 04:38:05,ICV,73
1312,2016-10-31,04:33:48,42.79,13.18,CENTRAL ITALY,10,ML,3.0,541462,4,33,48.0,2016-10-31 04:33:48,ICV,60
1313,2016-10-31,04:30:04,42.8,13.2,CENTRAL ITALY,10,ML,2.8,541449,4,30,4.0,2016-10-31 04:30:04,ICV,60
1314,2016-10-31,04:22:18,42.84,13.06,CENTRAL ITALY,11,ML,3.4,541447,4,22,18.0,2016-10-31 04:22:18,ICV,69
1315,2016-10-31,04:20:28,42.89,13.19,CENTRAL ITALY,8,ML,3.2,541446,4,20,28.0,2016-10-31 04:20:28,ICV,69
1316,2016-10-31,04:11:25,42.94,13.13,CENTRAL ITALY,9,ML,2.5,541444,4,11,25.0,2016-10-31 04:11:25,ICV,76
1317,2016-10-31,04:02:45,42.75,13.21,CENTRAL ITALY,10,ML,2.7,541440,4,2,45.0,2016-10-31 04:02:45,ICV,55
1299,2016-10-31,05:57:15,42.85,13.07,CENTRAL ITALY,9,ML,2.8,541488,5,57,15.0,2016-10-31 05:57:15,ICV,69
1300,2016-10-31,05:55:52,42.84,13.06,CENTRAL ITALY,9,ML,2.9,541478,5,55,52.0,2016-10-31 05:55:52,ICV,69
1301,2016-10-31,05:24:19,42.72,13.18,CENTRAL ITALY,11,ML,2.5,541475,5,24,19.0,2016-10-31 05:24:19,ICV,53
1302,2016-10-31,05:19:22,43.02,13.1,CENTRAL ITALY,9,ML,2.9,541479,5,19,22.0,2016-10-31 05:19:22,ICV,85
1303,2016-10-31,05:18:05,42.77,13.21,CENTRAL ITALY,10,ML,3.1,541472,5,18,5.0,2016-10-31 05:18:05,ICV,57
1304,2016-10-31,05:10:14,42.85,13.24,CENTRAL ITALY,9,ML,2.6,541470,5,10,14.0,2016-10-31 05:10:14,ICV,63
1305,2016-10-31,05:06:12,42.72,13.22,CENTRAL ITALY,11,ML,2.7,541469,5,6,12.0,2016-10-31 05:06:12,ICV,51
1291,2016-10-31,06:59:02,42.95,13.19,CENTRAL ITALY,8,ML,2.7,541499,6,59,2.0,2016-10-31 06:59:02,ICV,75
1292,2016-10-31,06:46:01,43.06,13.07,CENTRAL ITALY,9,ML,2.6,541494,6,46,1.0,2016-10-31 06:46:01,ICV,90
1293,2016-10-31,06:34:18,42.81,13.15,CENTRAL ITALY,9,ML,2.5,541492,6,34,18.0,2016-10-31 06:34:18,ICV,63
1294,2016-10-31,06:26:42,42.87,13.19,CENTRAL ITALY,8,ML,2.5,541491,6,26,42.0,2016-10-31 06:26:42,ICV,67
1295,2016-10-31,06:22:05,42.93,13.14,CENTRAL ITALY,10,ML,2.5,541489,6,22,5.0,2016-10-31 06:22:05,ICV,75
1297,2016-10-31,06:17:19,42.77,13.21,CENTRAL ITALY,10,MW,3.9,541485,6,17,19.0,2016-10-31 06:17:19,ICV,57
1298,2016-10-31,06:07:48,42.89,13.1,CENTRAL ITALY,10,ML,2.6,541484,6,7,48.0,2016-10-31 06:07:48,ICV,72
1280,2016-10-31,07:58:28,42.82,13.09,CENTRAL ITALY,10,ML,2.8,541514,7,58,28.0,2016-10-31 07:58:28,ICV,66
1281,2016-10-31,07:48:17,42.82,13.05,CENTRAL ITALY,10,ML,2.8,541513,7,48,17.0,2016-10-31 07:48:17,ICV,67
1282,2016-10-31,07:47:07,42.75,13.14,CENTRAL ITALY,10,ML,2.6,541512,7,47,7.0,2016-10-31 07:47:07,ICV,57
1283,2016-10-31,07:32:14,42.78,13.17,CENTRAL ITALY,18,ML,2.5,541523,7,32,14.0,2016-10-31 07:32:14,ICV,59
1284,2016-10-31,07:21:56,42.9,13.13,CENTRAL ITALY,12,ML,2.5,541509,7,21,56.0,2016-10-31 07:21:56,ICV,72
1285,2016-10-31,07:10:21,42.94,13.22,CENTRAL ITALY,9,ML,3.3,541510,7,10,21.0,2016-10-31 07:10:21,ICV,73
1286,2016-10-31,07:08:21,42.8,13.15,CENTRAL ITALY,11,ML,2.7,541507,7,8,21.0,2016-10-31 07:08:21,ICV,62
1287,2016-10-31,07:05:45,42.83,13.17,CENTRAL ITALY,20,MW,4.2,541498,7,5,45.0,2016-10-31 07:05:45,ICV,64
1289,2016-10-31,07:02:03,42.78,13.08,CENTRAL ITALY,10,ML,3.0,541502,7,2,3.0,2016-10-31 07:02:03,ICV,62
1290,2016-10-31,07:00:04,42.73,13.19,CENTRAL ITALY,10,ML,2.7,541503,7,0,4.0,2016-10-31 07:00:04,ICV,53
1268,2016-10-31,08:49:34,42.66,13.2,CENTRAL ITALY,14,ML,2.7,541539,8,49,34.0,2016-10-31 08:49:34,ICV,46
1269,2016-10-31,08:46:55,42.82,13.24,CENTRAL ITALY,15,ML,2.7,541541,8,46,55.0,2016-10-31 08:46:55,ICV,60
1270,2016-10-31,08:40:35,42.81,13.14,CENTRAL ITALY,8,ML,3.3,541538,8,40,35.0,2016-10-31 08:40:35,ICV,63
1271,2016-10-31,08:37:35,43.02,13.08,CENTRAL ITALY,2,ML,3.5,541537,8,37,35.0,2016-10-31 08:37:35,ICV,86
1272,2016-10-31,08:35:19,42.91,13.2,CENTRAL ITALY,9,ML,2.8,541534,8,35,19.0,2016-10-31 08:35:19,ICV,71
